,名称,类别,申报单位,保护单位
143,童谣（绍兴童谣）,扩展项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
144,童谣（纳西族童谣）,扩展项目,云南省丽江市古城区,古城区非物质文化遗产保护管理中心
145,桐城歌,新增项目,安徽省桐城市,桐城市文化馆
146,土家族梯玛歌,新增项目,湖南省龙山县,龙山县非物质文化遗产保护中心
147,雷州歌,新增项目,广东省雷州市,雷州市雷歌研究会
148,壮族嘹歌,新增项目,广西壮族自治区平果县,平果市文化体育推广中心（平果市民俗文化传承展示中心）
149,柯尔克孜约隆,新增项目,新疆维吾尔自治区阿克陶县,新疆阿克陶县文化馆
150,柯尔克孜约隆,新增项目,新疆师范大学,新疆师范大学
151,笑话（万荣笑话）,新增项目,山西省万荣县,万荣县笑话发展协会
152,天坛传说,新增项目,北京市东城区,北京市天坛公园管理处
153,曹雪芹传说,新增项目,北京市海淀区,北京市植物园
154,契丹始祖传说,新增项目,河北省平泉县,平泉市文化馆
155,赵氏孤儿传说,新增项目,山西省盂县,盂县人民文化馆
156,白马拖缰传说,新增项目,山西省晋城市城区,晋城市城区文化馆
157,舜的传说,新增项目,山西省沁水县,沁水县文化馆
158,舜的传说,新增项目,山东省诸城市,诸城市文化馆
159,禹的传说,新增项目,四川省汶川县,汶川县文化馆
160,禹的传说,新增项目,四川省北川羌族自治县,北川羌族自治县文化馆
161,禹的传说（武汉大禹治水传说）,扩展项目,湖北省武汉市汉阳区,武汉市晴川阁管理处（武汉大禹文化博物馆）
162,防风传说,新增项目,浙江省德清县,德清县文化馆
163,盘瓠传说,新增项目,湖南省泸溪县,泸溪县非物质文化遗产保护中心
164,庄子传说,新增项目,山东省东明县,山东省东明县文化馆
165,柳毅传说,新增项目,山东省潍坊市寒亭区,潍坊市寒亭区文化馆
166,禅宗祖师传说,新增项目,湖北省黄梅县,黄梅县文化馆
167,禅宗祖师传说（六祖传说）,扩展项目,广东省云浮市新兴县,新兴县文化馆
168,布袋和尚传说,新增项目,浙江省奉化市,宁波市奉化区文化馆
169,钱王传说,新增项目,浙江省临安市,杭州市临安区文化馆（杭州市临安区非物质文化遗产保护中心）
170,苏东坡传说,新增项目,浙江省杭州市,杭州西湖博物馆总馆（西湖学研究院、杭州西湖风景名胜区网宣中心）
171,苏东坡传说,扩展项目,湖北省黄冈市,黄冈市群众艺术馆（黄冈市民俗博物馆）
172,王羲之传说,新增项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
173,李时珍传说,新增项目,湖北省蕲春县,蕲春县文化馆
174,蔡伦造纸传说,新增项目,陕西省汉中市,汉中市民间文艺家协会
175,牡丹传说,新增项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
176,泰山传说,新增项目,山东省泰安市,泰安市泰山风景名胜区管理委员会（泰山林场）
177,黄鹤楼传说,新增项目,湖北省武汉市武昌区,武汉市黄鹤楼公园管理处
178,烂柯山的传说,新增项目,山西省陵川县,陵川县文化馆（陵川县上党梆子传习所）
179,烂柯山的传说,新增项目,浙江省衢州市,衢州市文化馆（衢州市非物质文化遗产保护中心）
180,珞巴族始祖传说,新增项目,西藏自治区米林县,西藏林芝市米林县文化和旅游局
181,阿尼玛卿雪山传说,新增项目,青海省果洛藏族自治州,果洛州文化馆（果洛州非物质文化遗产传承保护中心、果洛州群众体育指导服务中心）
182,锡伯族民间故事,新增项目,辽宁省沈阳市,沈阳市于洪区文化旅游体育事务服务中心
183,嘉黎民间故事,新增项目,西藏自治区嘉黎县,西藏那曲市嘉黎县文化和旅游局
184,海洋动物故事,新增项目,浙江省洞头县,温州市洞头区民间文艺工作者协会
185,土家族哭嫁歌,新增项目,湖南省永顺县,永顺县非物质文化遗产保护中心
186,土家族哭嫁歌,新增项目,湖南省古丈县,古丈县非物质文化遗产保护中心
187,坡芽情歌,新增项目,云南省富宁县,富宁县文化馆
188,祝赞词,新增项目,内蒙古自治区东乌珠穆沁旗,东乌珠穆沁旗文化馆
189,祝赞词,新增项目,新疆维吾尔自治区博湖县,博湖县非物质文化遗产保护中心
190,祝赞词,新增项目,新疆维吾尔自治区和布克赛尔蒙古自治县,和布克赛尔蒙古自治县非物质文化遗产保护中心
191,祝赞词（肃北蒙古族祝赞词）,扩展项目,甘肃省酒泉市肃北蒙古族自治县,肃北蒙古族自治县文化馆
192,黑暗传,新增项目,湖北省保康县,保康县文化馆
193,黑暗传,新增项目,湖北省神农架林区,神农架林区群众艺术馆
194,陶克陶胡,新增项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县文化工作总站（前郭县非物质文化遗产保护中心）
195,密洛陀,新增项目,广西壮族自治区都安瑶族自治县,都安瑶族自治县文化馆
196,亚鲁王,新增项目,贵州省紫云苗族布依族自治县,紫云苗族布依族自治县亚鲁王文化研究中心
197,目瑙斋瓦,新增项目,云南省德宏傣族景颇族自治州,德宏州文化馆
198,洛奇洛耶与扎斯扎依,新增项目,云南省墨江哈尼族自治县,墨江哈尼族自治县文化馆
199,阿细先基,新增项目,云南省弥勒县,弥勒市文化馆
