,名称,类别,申报单位,保护单位
1961,剪纸（踏虎凿花）,扩展项目,湖南省泸溪县,泸溪县踏虎凿花传习所
1962,剪纸（苗族剪纸）,扩展项目,贵州省剑河县,剑河县非物质文化遗产保护中心
1963,剪纸（庆阳剪纸）,扩展项目,甘肃省镇原县,镇原县文化馆
1964,剪纸（包头剪纸）,扩展项目,内蒙古自治区包头市,包头市艺术研究中心（包头市非物质文化遗产保护中心）
1965,剪纸（新干剪纸）,扩展项目,江西省新干县,新干县文化馆
1966,剪纸（延川剪纸）,扩展项目,陕西省延川县,延川县非物质文化遗产保护传承服务中心（延川县陕北道情研究中心）
1967,剪纸（旬邑彩贴剪纸）,扩展项目,陕西省旬邑县,旬邑县文化馆
1968,剪纸（会宁剪纸）,扩展项目,甘肃省会宁县,会宁县文化馆
1969,剪纸（静乐剪纸）,扩展项目,山西省静乐县,静乐县文化馆（静乐县美术馆）
1970,剪纸（桐庐剪纸）,扩展项目,浙江省桐庐县,桐庐县文化发展中心（文化馆、非遗中心）
1971,剪纸（浦城剪纸）,扩展项目,福建省浦城县,浦城县文化馆
1972,剪纸（水族剪纸）,扩展项目,贵州省黔南布依族苗族自治州,黔南布依族苗族自治州非物质文化遗产保护中心（黔南布依族苗族自治州文化艺术研究所）
1973,剪纸（定西剪纸）,扩展项目,甘肃省定西市,定西市非物质文化遗产保护中心
1974,剪纸（回族剪纸）,扩展项目,宁夏回族自治区,宁夏回族自治区文化馆（宁夏回族自治区非物质文化遗产保护中心、宁夏回族自治区展览馆）
1975,剪纸（太原剪纸）,扩展项目,山西省太原市,山西上林苑传统剪纸艺术研究所
1976,剪纸（海伦剪纸）,扩展项目,黑龙江省绥化市海伦市,海伦市文化馆
1977,剪纸（梅山剪纸）,扩展项目,湖南省益阳市安化县,湖南省梅山剪纸文化有限责任公司
1978,顾绣,新增项目,上海市松江区,上海市松江区人文松江活动中心（上海市松江区文化馆、上海市松江区图书馆、上海市松江区文化资源配送中心）
1979,苏绣,新增项目,江苏省苏州市,苏州刺绣研究所有限公司
1980,苏绣（无锡精微绣）,扩展项目,江苏省无锡市,无锡市民间艺术博物馆
1981,苏绣（南通仿真绣）,扩展项目,江苏省南通市,南通市沈寿艺术馆有限公司
1982,苏绣（扬州刺绣）,扩展项目,江苏省扬州市,扬州刺绣研究所有限公司
1983,苏绣（常州乱针绣）,扩展项目,江苏省常州市,常州市乱针绣行业协会
1984,湘绣,新增项目,湖南省长沙市,长沙市非物质文化遗产保护中心（长沙非物质文化遗产馆）
1985,粤绣（广绣）,新增项目,广东省广州市,广州市文化馆（广州市非物质文化遗产保护中心）
1986,粤绣（潮绣）,新增项目,广东省潮州市,潮州市工艺美术研究院
1987,粤绣（珠绣）,扩展项目,广东省潮州市,潮州百师园文化产业有限公司
1988,蜀绣,新增项目,四川省成都市,成都市非物质文化遗产保护中心（成都市非物质文化遗产艺术研究院）
1989,蜀绣,扩展项目,重庆市渝中区,重庆市渝中区文物保护管理所（重庆市渝中区非物质文化遗产保护中心、重庆市渝中区母城文化研究中心、重庆市渝中区博物馆）
1990,苗绣（雷山苗绣）,新增项目,贵州省雷山县,雷山县非物质文化遗产保护中心
1991,苗绣（花溪苗绣）,新增项目,贵州省贵阳市,贵阳市花溪区文物保护管理所（贵阳市花溪区非物质文化遗产保护中心）
1992,苗绣（剑河苗绣）,新增项目,贵州省剑河县,剑河县非物质文化遗产保护中心
1993,苗绣,扩展项目,贵州省凯里市,凯里市非物质文化遗产保护中心
1994,苗绣,扩展项目,贵州省台江县,台江县非物质文化遗产保护中心
1995,苗绣（湘西苗绣）,扩展项目,湖南省湘西土家族苗族自治州花垣县,花垣县非物质文化遗产保护中心
1996,苗绣（松桃苗绣）,扩展项目,贵州省铜仁市松桃苗族自治县,松桃苗族自治县文化馆
1997,水族马尾绣,新增项目,贵州省三都水族自治县,三都水族自治县非物质文化遗产保护中心
1998,土族盘绣,新增项目,青海省互助土族自治县,互助土族自治县文化馆
1999,挑花（黄梅挑花）,新增项目,湖北省黄梅县,黄梅县文化馆
2000,挑花（花瑶挑花）,新增项目,湖南省隆回县,隆回县非物质文化遗产保护中心
2001,挑花（望江挑花）,扩展项目,安徽省望江县,望江县文化馆
2002,挑花（花瑶挑花）,扩展项目,湖南省溆浦县,溆浦县文化馆
2003,挑花（苗族挑花）,扩展项目,湖南省泸溪县,泸溪县非物质文化遗产保护中心
2004,挑花（巫溪嫁花）,扩展项目,重庆市巫溪县,巫溪县文化馆
2005,庆阳香包绣制,新增项目,甘肃省庆阳市,庆阳市文化馆
2006,香包（徐州香包）,扩展项目,江苏省徐州市,徐州文化馆
2007,象牙雕刻,新增项目,北京市崇文区,北京象牙雕刻厂有限责任公司
2008,象牙雕刻,新增项目,广东省广州市,广州市大新文化创意发展有限公司
2009,象牙雕刻（常州象牙浅刻）,扩展项目,江苏省常州市武进区,常州剑波雅刻艺术品有限公司
2010,扬州玉雕,新增项目,江苏省扬州市,扬州玉器厂有限责任公司
2011,岫岩玉雕,新增项目,辽宁省岫岩满族自治县,岫岩满族自治县非物质文化遗产保护中心
2012,阜新玛瑙雕,新增项目,辽宁省阜新市,阜新市玛瑙协会
2013,夜光杯雕,新增项目,甘肃省酒泉市,酒泉市夜光杯厂
2014,金石篆刻（西泠印社）,新增项目,浙江省杭州市西泠印社,西泠印社社务委员会
2015,金石篆刻,扩展项目,中国艺术研究院,中国艺术研究院（中国非物质文化遗产保护中心）
2016,青田石雕,新增项目,浙江省青田县,青田县石雕产业保护和发展局
2017,曲阳石雕,新增项目,河北省曲阳县,曲阳县文化馆
2018,寿山石雕,新增项目,福建省福州市,海峡寿山石文化研究院
2019,惠安石雕,新增项目,福建省惠安县,惠安县文化馆
2020,惠安石雕（影雕）,扩展项目,福建省厦门市湖里区,厦门惠和股份有限公司
2021,徽州三雕,新增项目,安徽省黄山市,安徽中国徽州文化博物馆（黄山市博物馆）
2022,徽州三雕（婺源三雕）,新增项目,江西省婺源县,婺源县文化馆
2023,临夏砖雕,新增项目,甘肃省临夏县,临夏县文化馆
2024,砖雕（山西民居砖雕）,扩展项目,山西省清徐县,清徐县窑王堡窑砖雕工艺美术厂
2025,砖雕（固原砖雕）,扩展项目,宁夏回族自治区固原市,固原市文化馆（固原市非物质文化遗产保护中心、固原市美术馆、固原市文物保护中心）
2026,藏族格萨尔彩绘石刻,新增项目,四川省色达县,色达县文化馆
2027,潮州木雕,新增项目,广东省潮州市,潮州市湘桥区文化馆（潮州市湘桥区图书馆）
2028,潮州木雕,扩展项目,广东省揭阳市,揭阳市群众艺术馆
2029,潮州木雕,扩展项目,广东省汕头市,汕头市工艺美术学会
2030,宁波朱金漆木雕,新增项目,浙江省宁波市,宁波市朱金漆木雕文化发展有限公司
2031,乐清黄杨木雕,新增项目,浙江省乐清市,乐清市文化遗产保护中心
2032,黄杨木雕,扩展项目,上海市徐汇区,上海市徐汇区人民政府长桥街道办事处
2033,东阳木雕,新增项目,浙江省东阳市,东阳市非物质文化遗产保护中心
2034,漳州木偶头雕刻,新增项目,福建省漳州市,漳州市竹初木偶艺术馆
2035,木偶头雕刻（江加走木偶头雕刻）,扩展项目,福建省泉州市,泉州市鲤城区文化馆
2036,木偶头雕刻（泰顺木偶头雕刻）,扩展项目,浙江省泰顺县,泰顺县方圆木偶工艺有限公司
2037,萍乡湘东傩面具,新增项目,江西省萍乡市,萍乡市湘东区文化馆（萍乡市湘东区非物质文化遗产研究保护中心）
2038,竹刻（嘉定竹刻）,新增项目,上海市嘉定区,上海市嘉定区竹刻协会
2039,竹刻（宝庆竹刻）,新增项目,湖南省邵阳市,邵阳市宝庆竹刻研究所
2040,竹刻（无锡留青竹刻）,扩展项目,江苏省无锡市,无锡市民间艺术博物馆
2041,竹刻（常州留青竹刻）,扩展项目,江苏省常州市,常州市文化馆
2042,竹刻（黄岩翻簧竹雕）,扩展项目,浙江省台州市黄岩区,黄岩希望工艺厂
2043,竹刻（江安竹簧）,扩展项目,四川省江安县,江安县文化馆
2044,竹刻（徽州竹雕）,扩展项目,安徽省黄山市徽州区,黄山市竹溪堂徽雕艺术有限公司
2045,竹刻（莆田留青竹刻）,扩展项目,福建省莆田市城厢区,莆田市云起香材有限公司
2046,泥塑（天津泥人张）,新增项目,天津市,天津泥人张彩塑工作室，天津市南开区泥人张美术馆
2047,泥塑（惠山泥人）,新增项目,江苏省无锡市,无锡市民间艺术博物馆
2048,泥塑（浚县泥咕咕）,新增项目,河南省浚县,浚县人民文化馆
2049,泥塑（凤翔泥塑）,新增项目,陕西省凤翔县,凤翔县文化馆
2050,泥塑（玉田泥塑）,扩展项目,河北省玉田县,河北省玉田县文化馆
2051,泥塑（苏州泥塑）,扩展项目,江苏省苏州市,苏州市艺术学校（苏州市艺术职业学校）
2052,泥塑（聂家庄泥塑）,扩展项目,山东省高密市,高密市公共文化服务中心
2053,泥塑（大吴泥塑）,扩展项目,广东省潮安县,潮州市潮安区文化馆（区非物质文化遗产保护中心）
2054,泥塑（徐氏泥彩塑）,扩展项目,四川省大英县,大英县文物管理所（大英县汉陶博物馆）
2055,泥塑（苗族泥哨）,扩展项目,贵州省黄平县,黄平县非物质文化遗产保护中心
2056,泥塑（杨氏家庭泥塑）,扩展项目,宁夏回族自治区隆德县,宁夏隆德杨氏彩塑文物艺术有限公司
2057,泥塑（惠民泥塑）,扩展项目,山东省惠民县,惠民县文化馆（惠民县非物质文化遗产保护中心）
2058,泥塑（北京兔儿爷）,扩展项目,北京市朝阳区,北京汉唐双起翔文化传播有限公司
2059,泥塑（淮阳泥泥狗）,扩展项目,河南省淮阳县,淮阳县文化馆
2060,泥塑（北京泥人张）,扩展项目,北京市东城区,北京泥人张艺术开发有限责任公司
2061,塔尔寺酥油花,新增项目,青海省湟中县,青海省湟中县塔尔寺管理委员会
2062,酥油花（强巴林寺酥油花）,扩展项目,西藏自治区昌都地区,西藏昌都市强巴林寺管理委员会
2063,热贡艺术,新增项目,青海省同仁县,同仁县文化馆
2064,灯彩（仙居花灯）,新增项目,浙江省仙居县,仙居县文化遗产保护中心
2065,灯彩（硖石灯彩）,新增项目,浙江省海宁市,海宁市文化馆（海宁市非物质文化遗产保护中心）
2066,灯彩（泉州花灯）,新增项目,福建省泉州市,泉州市艺术馆（泉州市闽南文化生态保护中心、泉州市非物质文化遗产保护中心）
2067,灯彩（东莞千角灯）,新增项目,广东省东莞市,东莞市莞城文化服务中心（东莞市莞城体育管理服务中心、东莞市莞城文化周末工程中心）
2068,灯彩（湟源排灯）,新增项目,青海省湟源县,湟源县文化馆
2069,灯彩（北京灯彩）,扩展项目,北京市崇文区,北京市美术红灯厂有限责任公司
2070,灯彩（北京灯彩）,扩展项目,北京市朝阳区,北京鑫瑞祥通文化发展有限公司
2071,灯彩（上海灯彩）,扩展项目,上海市卢湾区,上海大世界传艺中心
2072,灯彩（秦淮灯彩）,扩展项目,江苏省句容市,句容市民间工艺彩灯厂
2073,灯彩（苏州灯彩）,扩展项目,江苏省苏州市,苏州市苏艺灯彩艺术有限公司
2074,灯彩（佛山彩灯）,扩展项目,广东省佛山市,佛山市民间艺术研究社有限公司
2075,灯彩（潮州花灯）,扩展项目,广东省潮州市湘桥区,潮州市湘桥区文化馆（潮州市湘桥区图书馆）
2076,灯彩（洛阳宫灯）,扩展项目,河南省洛阳市,洛阳市文化馆（洛阳市非物质文化遗产保护中心）
2077,灯彩（汴京灯笼张）,扩展项目,河南省开封市,开封市彩灯艺术研究会
2078,灯彩（忠信花灯）,扩展项目,广东省连平县,连平县文化馆（连平县非物质文化遗产保护中心）
2079,灯彩（乐清首饰龙）,扩展项目,浙江省乐清市,乐清市文化遗产保护中心
2080,嵊州竹编,新增项目,浙江省嵊州市,嵊州市文化旅游产业发展中心（嵊州市非物质文化遗产保护中心、嵊州市越剧文化生态保护区服务中心）
2081,竹编（东阳竹编）,扩展项目,浙江省东阳市,东阳市工艺美术行业协会
2082,竹编（舒席）,扩展项目,安徽省舒城县,舒城县文化馆
2083,竹编（瑞昌竹编）,扩展项目,江西省瑞昌市,瑞昌市南义竹编工艺厂
2084,竹编（梁平竹帘）,扩展项目,重庆市梁平县,重庆市梁平区文化遗产保护中心
2085,竹编（渠县刘氏竹编）,扩展项目,四川省渠县,四川刘氏竹编工艺有限公司
2086,竹编（青神竹编）,扩展项目,四川省青神县,青神县文物保护中心
2087,竹编（瓷胎竹编）,扩展项目,四川省邛崃市,邛崃市文化馆
2088,竹编（益阳小郁竹艺）,扩展项目,湖南省益阳市,益阳市朝阳小郁竹艺有限公司
2089,竹编（毛南族花竹帽编织技艺）,扩展项目,广西壮族自治区环江毛南族自治县,环江毛南族自治县非物质文化遗产保护传承中心
2090,竹编（安溪竹藤编）,扩展项目,福建省安溪县,安溪县家居工艺商会
2091,竹编（道明竹编）,扩展项目,四川省崇州市,崇州市文化馆
2092,面人（北京面人郎）,新增项目,北京市海淀区,北京市海淀区文化馆
2093,面人（上海面人赵）,新增项目,上海工艺美术研究所,上海工艺美术有限公司工艺美术研究所
2094,面人（曹州面人）,新增项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
2095,面人（曹县江米人）,新增项目,山东省曹县,曹县文化馆
2096,面人（面人汤）,扩展项目,北京市通州区,北京市通州区文化馆
2097,面人（天津面塑）,扩展项目,天津市河西区,天津市河西区文化馆（天津市河西区非物质文化遗产保护中心）
2098,面花（阳城焙面面塑）,新增项目,山西省阳城县,阳城县文化馆
2099,面花（闻喜花馍）,新增项目,山西省闻喜县,闻喜县人民文化馆
2100,面花（定襄面塑）,新增项目,山西省定襄县,定襄县文化旅游产业服务中心
2101,面花（新绛面塑）,新增项目,山西省新绛县,新绛县文化馆
2102,面花（郎庄面塑）,新增项目,山东省冠县,冠县文化图书馆
2103,面花（黄陵面花）,新增项目,陕西省黄陵县,黄陵县非物质文化遗产办公室
2104,面花（岚县面塑）,扩展项目,山西省岚县,岚县文化馆
2105,草编（大名草编）,新增项目,河北省大名县,大名县文化馆
2106,草编（徐行草编）,新增项目,上海市嘉定区,上海徐行黄草编织专业合作社
2107,草编（湖口草龙）,新增项目,江西省湖口县,湖口县非物质文化遗产保护研究会
2108,草编（莱州草辫）,新增项目,山东省莱州市,莱州市文化馆
2109,草编（沐川草龙）,新增项目,四川省沐川县,沐川县文化馆
2110,草编（哈萨克族芨芨草编织技艺）,扩展项目,新疆维吾尔自治区托里县,托里县文化馆
2111,柳编（广宗柳编）,新增项目,河北省广宗县,广宗县文化馆
2112,柳编（维吾尔族枝条编织）,新增项目,新疆维吾尔自治区吐鲁番市,吐鲁番市高昌区文化馆
2113,柳编（固安柳编）,扩展项目,河北省固安县,固安县文物和非物质文化遗产所（固安县博物馆）
2114,柳编（黄岗柳编）,扩展项目,安徽省阜南县,阜南柳编工艺品协会
2115,柳编（霍邱柳编）,扩展项目,安徽省霍邱县,霍邱县淮美奇工艺品有限公司
2116,柳编（博兴柳编）,扩展项目,山东省博兴县,博兴县文化馆
2117,柳编（曹县柳编）,扩展项目,山东省曹县,曹县民间传统手工技艺研究会
2118,柳编（临沭柳编）,扩展项目,山东省临沂市临沭县,临沭县柳编工艺品商会
2119,石雕（煤精雕刻）,新增项目,辽宁省抚顺市,抚顺市非物质文化遗产保护中心
2120,石雕（鸡血石雕）,新增项目,浙江省临安市,浙江省昌化石雕厂
2121,石雕（嘉祥石雕）,新增项目,山东省嘉祥县,嘉祥县公共文化服务中心（嘉祥县图书馆、嘉祥县文化馆）
2122,石雕（掖县滑石雕刻）,新增项目,山东省莱州市,莱州市文化馆
2123,石雕（方城石猴）,新增项目,河南省方城县,方城县文化馆
2124,石雕（大冶石雕）,新增项目,湖北省大冶市,湖北尹解元石雕艺术有限公司
2125,石雕（菊花石雕）,新增项目,湖南省浏阳市,浏阳市菊花石行业协会
2126,石雕（雷州石狗）,新增项目,广东省雷州市,雷州市雷州民俗研究会
2127,石雕（白花石刻）,新增项目,四川省广元市,广元市利州区文化馆（广元市利州区图书馆）
2128,石雕（安岳石刻）,新增项目,四川省安岳县,安岳县文化馆
2129,石雕（泽库和日寺石刻）,新增项目,青海省泽库县,泽库县文化馆（图书馆）
2130,石雕（菊花石雕）,扩展项目,湖南省工艺美术研究所,湖南省工艺美术研究所有限公司
2131,石雕（沅洲石雕）,扩展项目,湖南省芷江侗族自治县,芷江侗族自治县文化遗产保护中心
2132,石雕（富平石刻）,扩展项目,陕西省富平县,富平县古石刻保护研究中心
2133,石雕（绥德石雕）,扩展项目,陕西省绥德县,绥德县文化馆
2134,石雕（巴林石雕）,扩展项目,内蒙古自治区赤峰市,赤峰博物院
2135,石雕（绿松石雕）,扩展项目,湖北省,湖北省工艺美术研究所
2136,石雕（大足石雕）,扩展项目,重庆市大足区,重庆市大足区美术馆（重庆市大足区非物质文化遗产保护中心）
2137,玉雕（北京玉雕）,新增项目,北京市玉器厂,北京市玉器厂有限责任公司
2138,玉雕（苏州玉雕）,新增项目,江苏省苏州市,苏州博物馆（苏州民俗博物馆、苏州工艺美术博物馆）
2139,玉雕（镇平玉雕）,新增项目,河南省镇平县,镇平县石佛寺珠宝玉雕有限公司
2140,玉雕（广州玉雕）,新增项目,广东省广州市荔湾区,广州市荔湾区广州玉雕协会
2141,玉雕（阳美翡翠玉雕）,新增项目,广东省揭阳市,揭阳产业转移工业园磐东街道阳美经济联合社
2142,玉雕（海派玉雕）,扩展项目,上海市,上海海派玉雕文化协会
2143,玉雕（腾冲玉雕）,扩展项目,云南省保山市腾冲市,腾冲市文化馆
2144,木雕（曲阜楷木雕刻）,新增项目,山东省曲阜市,曲阜市公共文化服务中心（曲阜市文化馆、曲阜市图书馆、曲阜市非物质文化遗产保护中心）
2145,木雕（澳门神像雕刻）,新增项目,澳门特别行政区,大昌佛像雕刻木器
2146,木雕（武汉木雕船模）,新增项目,湖北省武汉市硚口区,武汉市硚口区文化馆
2147,木雕（紫檀雕刻）,扩展项目,中国紫檀博物馆,中国紫檀博物馆
2148,木雕（紫檀雕刻）,扩展项目,上海市,上海中国紫檀文化研究院
2149,木雕（莆田木雕）,扩展项目,福建省莆田市,莆田市二轻工业联社
2150,木雕（花瑰艺术）,扩展项目,海南省澄迈县,澄迈县文化馆
2151,木雕（剑川木雕）,扩展项目,云南省剑川县,剑川县文化馆
2152,木雕（永乐桃木雕刻）,扩展项目,山西省芮城县,芮城县理天木雕文化研究所
2153,木雕（东固传统造像）,扩展项目,江西省吉安市青原区,吉安市青原区文化馆（区美术馆、区非物质文化遗产保护中心）
2154,木雕（通山木雕）,扩展项目,湖北省通山县,通山县非物质文化遗产保护中心
2155,木雕（泉州木雕）,扩展项目,福建省泉州市,泉州市艺术馆（泉州市闽南文化生态保护中心、泉州市非物质文化遗产保护中心）
2156,木雕（曹县木雕）,扩展项目,山东省菏泽市曹县,山东省曹县云龙木雕工艺有限公司
2157,木雕（奉节木雕）,扩展项目,重庆市奉节县,奉节县文化馆（奉节县非物质文化遗产保护中心）
2158,木雕（藏族扎囊木雕）,扩展项目,西藏自治区山南市,扎囊县虱雕工艺农民专业合作社
2159,核雕（光福核雕）,新增项目,江苏省苏州市,苏州市吴中区光福镇文体教育服务中心
2160,核雕（潍坊核雕）,新增项目,山东省潍坊市,齐鲁文化（潍坊）生态保护区服务中心（潍坊市文化馆、潍坊市文化遗产保护中心）
2161,核雕（广州榄雕）,新增项目,广东省增城市,广州市增城区文化馆
2162,核雕（大连核雕）,扩展项目,辽宁省大连市西岗区,大连市西岗区文化馆
2163,椰雕（海南椰雕）,新增项目,海南省海口市,海口市龙华区文化馆
2164,葫芦雕刻（东昌葫芦雕刻）,新增项目,山东省聊城市,聊城市东昌府区文化馆
2165,锡雕,新增项目,浙江省永康市,浙江荣盛达锡制品有限公司
2166,锡雕,新增项目,山东省莱芜市,济南市文化馆（济南市非物质文化遗产保护中心、济南市艺术创作研究院）
2167,锡雕（莲花打锡）,扩展项目,江西省莲花县,莲花县文化馆
2168,锡雕（锦州锡雕）,扩展项目,辽宁省锦州市,锦州市凌河区体育旅游服务中心
2169,汉字书法,新增项目,中国文学艺术界联合会书法家协会,中国文学艺术界联合会书法家协会
2170,汉字书法,新增项目,中国艺术研究院中国书法院,中国艺术研究院（中国非物质文化遗产保护中心）
2171,藏文书法（德格藏文书法）,新增项目,四川省德格县,德格县文化馆
2172,藏文书法（果洛德昂洒智）,新增项目,青海省果洛藏族自治州,达日县文化馆
2173,藏文书法（尼赤）,扩展项目,西藏自治区,西藏图书馆
2174,木版年画（平阳木版年画）,新增项目,山西省临汾市,临汾市平阳木版年画博物馆
2175,木版年画（东昌府木版年画）,新增项目,山东省聊城市,聊城市东昌府区文化馆
2176,木版年画（张秋木版年画）,新增项目,山东省阳谷县,阳谷县文化馆
2177,木版年画（滑县木版年画）,新增项目,河南省滑县,滑县人民文化馆
2178,木版年画（夹江年画）,新增项目,四川省夹江县,夹江县文化馆
2179,木版年画（老河口木版年画）,扩展项目,湖北省老河口市,老河口市群众艺术馆
2180,彩扎（凤凰纸扎）,新增项目,湖南省凤凰县,凤凰县非物质文化遗产保护中心
2181,彩扎（秸秆扎刻）,新增项目,河北省永清县,永清县文化馆
2182,彩扎（彩布拧台）,新增项目,河北省邯郸市,邯郸市邯山区文化馆
2183,彩扎（邳州纸塑狮子头）,新增项目,江苏省邳州市,邳州市文化馆
2184,彩扎（佛山狮头）,新增项目,广东省佛山市,佛山市民间艺术研究社有限公司
2185,彩扎（麒麟制作）,扩展项目,广东省东莞市,东莞市清溪镇文化服务中心（东莞市清溪镇体育管理服务中心）
2186,彩扎（铜梁龙灯彩扎）,扩展项目,重庆市铜梁区,重庆市铜梁区文化馆（重庆市铜梁区龙文化发展研究中心、重庆市铜梁区非物质文化遗产保护中心）
2187,龙档（乐清龙档）,新增项目,浙江省乐清市,乐清市黄家龙档木雕艺术研究所
2188,常州梳篦,新增项目,江苏省常州市,常州梳篦厂有限公司
2189,麦秆剪贴,新增项目,浙江省浦江县,浦江云花工艺美术有限公司
2190,麦秆剪贴,扩展项目,黑龙江省哈尔滨市,哈尔滨市工艺美术有限责任公司
2191,麦秆剪贴,扩展项目,河南省清丰县,清丰县非物质文化遗产保护中心
2192,麦秆剪贴,扩展项目,湖北省仙桃市,仙桃市群众艺术馆、仙桃市非物质文化遗产保护中心（仙桃市镇办文化服务管理中心）
2193,北京绢花,新增项目,北京市崇文区,北京市东城区东花市街道市民活动中心
2194,北京绢人,扩展项目,北京市东城区,北京市东城区东花市街道市民活动中心
2195,堆锦（上党堆锦）,新增项目,山西省长治市堆锦研究所,山西省长治堆锦研究所
2196,堆锦（上党堆锦）,新增项目,山西省长治市群众艺术馆,长治市黄河工艺美术学校
2197,湟中堆绣,新增项目,青海省湟中县,湟中县文化馆
2198,瓯绣,新增项目,浙江省温州市,温州市工艺美术研究院
2199,汴绣,新增项目,河南省开封市,开封汴绣厂
2200,汉绣,新增项目,湖北省武汉市江汉区,武汉市江汉区文化馆
2201,羌族刺绣,新增项目,四川省汶川县,汶川县文化馆
2202,民间绣活（高平绣活）,新增项目,山西省高平市,高平市文化馆（高平市上党梆子研究发展中心）
2203,民间绣活（麻柳刺绣）,新增项目,四川省广元市,广元市朝天区文化馆
2204,民间绣活（西秦刺绣）,新增项目,陕西省宝鸡市,宝鸡市群众艺术馆（宝鸡市非物质文化遗产保护中心）
2205,民间绣活（澄城刺绣）,新增项目,陕西省澄城县,澄城县文化馆（澄城县非物质文化遗产保护中心）
2206,民间绣活（红安绣活）,新增项目,湖北省红安县,红安县文化馆
2207,民间绣活（阳新布贴）,新增项目,湖北省阳新县,阳新县文化馆
2208,民间绣活（夏布绣）,扩展项目,江西省新余市,江西渝州绣坊有限公司
2209,民间绣活（宁夏刺绣）,扩展项目,宁夏回族自治区,宁夏回族自治区文化馆（宁夏回族自治区非物质文化遗产保护中心、宁夏回族自治区展览馆）
2210,彝族（撒尼）刺绣,新增项目,云南省石林彝族自治县,石林彝族自治县阿诗玛文化传承与保护中心（石林彝族自治县阿诗玛文化研究所、石林彝族自治县非物质文化遗产保护中心）
2211,维吾尔族刺绣,新增项目,新疆维吾尔自治区哈密地区,哈密市文化馆
2212,满族刺绣（岫岩满族民间刺绣）,新增项目,辽宁省岫岩满族自治县,岫岩满族自治县文化馆
2213,满族刺绣（锦州满族民间刺绣）,新增项目,辽宁省锦州市古塔区,锦州市夏氏满族工艺发展有限公司
2214,满族刺绣（长白山满族枕头顶刺绣）,新增项目,吉林省通化市,通化师范学院
2215,满族刺绣,扩展项目,黑龙江省克东县,克东县北方满绣艺术研究所
2216,满族刺绣,扩展项目,黑龙江省牡丹江市,牡丹江渤海靺鞨文化发展有限公司
2217,满族刺绣（宁安满族刺绣）,扩展项目,黑龙江省牡丹江市宁安市,宁安市文化馆
2218,蒙古族刺绣,新增项目,新疆维吾尔自治区博湖县,博湖县非物质文化遗产保护中心
2219,蒙古族刺绣,扩展项目,内蒙古自治区苏尼特左旗,苏尼特左旗文体旅游事业发展中心
2220,蒙古族刺绣（图什业图刺绣）,扩展项目,内蒙古自治区兴安盟科尔沁右翼中旗,科尔沁右翼中旗文化馆
2221,柯尔克孜族刺绣,新增项目,新疆维吾尔自治区温宿县,温宿县文化馆（温宿县文工团）
2222,哈萨克毡绣和布绣,新增项目,新疆生产建设兵团农六师,新疆生产建设兵团第六师五家渠市文化体育广电和旅游局
2223,料器（北京料器）,新增项目,北京京城百工坊艺术品有限公司,北京兰香双龙商贸有限公司
2224,料器（葡萄常料器）,扩展项目,北京市东城区,北京市东城区东花市街道市民活动中心
2225,瓯塑,新增项目,浙江省温州市,浙江云艺装饰有限公司
2226,砖塑（鄄城砖塑）,新增项目,山东省鄄城县,鄄城县文物管理所（中国鲁锦博物馆）
2227,灰塑,新增项目,广东省广州市,广州市花都区文化馆（广州市花都区非物质文化遗产保护中心）
2228,糖塑（丰县糖人贡）,新增项目,江苏省徐州市丰县,丰县文化馆
2229,糖塑（天门糖塑）,新增项目,湖北省天门市,天门市群众艺术馆
2230,糖塑（成都糖画）,新增项目,四川省成都市,成都市锦江区文化馆
2231,瓷板画,新增项目,江西省南昌市,南昌画院（南昌美术馆、南昌瓷板画研究中心）
2232,软木画,新增项目,福建省福州市,福州西园软木画协会
2233,镶嵌（彩石镶嵌）,新增项目,浙江省温州市鹿城区,温州崇林斋工艺品有限公司
2234,镶嵌（彩石镶嵌）,新增项目,浙江省温州市瓯海区,温州市瓯海区文化馆
2235,镶嵌（彩石镶嵌）,新增项目,浙江省仙居县,仙居县文化遗产保护中心
2236,镶嵌（骨木镶嵌）,新增项目,浙江省宁波市,宁波市鄞州紫林坊艺术馆
2237,镶嵌（嵌瓷）,新增项目,广东省汕头市,汕头市潮南区成田镇大寮嵌瓷工艺社
2238,镶嵌（嵌瓷）,新增项目,广东省普宁市,普宁市文化馆
2239,镶嵌（潮州嵌瓷）,扩展项目,广东省潮州市工艺美术研究院,潮州市工艺美术研究院
2240,新会葵艺,新增项目,广东省江门市新会区,新会区会城葵乡传统工艺品经营中心
2241,传统插花,新增项目,北京林业大学,北京林业大学
2242,盆景技艺（扬派盆景技艺）,新增项目,江苏省扬州市,扬州市瘦西湖风景区管理处
2243,盆景技艺（扬派盆景技艺）,新增项目,江苏省泰州市,泰州市市政园林事业中心
2244,盆景技艺（徽派盆景技艺）,新增项目,安徽省歙县,歙县徽派盆景协会
2245,盆景技艺（英石假山盆景技艺）,新增项目,广东省英德市,英德市奇石协会
2246,盆景技艺（苏派盆景技艺）,扩展项目,江苏省苏州市,苏州市虎丘山风景名胜区管理处
2247,盆景技艺（川派盆景技艺）,扩展项目,四川省盆景艺术家协会,四川省盆景协会
2248,盆景技艺（如皋盆景）,扩展项目,江苏省如皋市,如皋市花木盆景产业联合会
