Unnamed: 0,名称,类别,类型,申报单位,保护单位,Longitude,Latitude,Converted_Longitude,Converted_Latitude
2676,蒸馏酒传统酿造技艺（西凤酒酿造技艺）,传统技艺,扩展项目,陕西省宝鸡市凤翔区,陕西西凤酒股份有限公司,112.7630885,34.42406258,112.7504086,34.41957974
2677,蒸馏酒传统酿造技艺（青海青稞酒传统酿造技艺）,传统技艺,扩展项目,青海省海东市互助土族自治县,青海互助青稞酒股份有限公司,103.842393,36.06519487,103.8334596,36.05961977
2678,酿造酒传统酿造技艺（封缸酒传统酿造技艺）,传统技艺,新增项目,江苏省金坛市,常州市金坛区非物质文化遗产保护中心（常州市金坛区书画院）,119.5941064,31.72805664,119.5825886,31.72452442
2679,酿造酒传统酿造技艺（封缸酒传统酿造技艺）,传统技艺,新增项目,江苏省丹阳市,江苏省丹阳酒厂有限公司,119.6754258,31.95543301,119.6639299,31.95150555
2680,酿造酒传统酿造技艺（金华酒传统酿造技艺）,传统技艺,新增项目,浙江省金华市,金华酒行业协会,116.4394488,40.02905152,116.4267033,40.02171804
2681,酿造酒传统酿造技艺（刘伶醉酒酿造技艺）,传统技艺,扩展项目,河北省保定市徐水区,刘伶醉酿酒股份有限公司,121.483631,31.40978891,121.4725883,31.40581372
2682,酿造酒传统酿造技艺（红粬黄酒酿造技艺）,传统技艺,扩展项目,福建省宁德市屏南县,福建惠泽龙酒业股份有限公司,118.9923266,26.91820693,118.9809626,26.91592624
2683,配制酒传统酿造技艺（菊花白酒传统酿造技艺）,传统技艺,新增项目,北京仁和酒业有限责任公司,北京仁和酒业有限责任公司,116.2173229,39.7236327,116.2046658,39.71671503
2684,花茶制作技艺（张一元茉莉花茶制作技艺）,传统技艺,新增项目,北京张一元茶叶有限责任公司,北京张一元茶叶有限责任公司,116.3779271,39.89326769,116.3652056,39.88585431
2685,花茶制作技艺（吴裕泰茉莉花茶制作技艺）,传统技艺,扩展项目,北京市东城区,北京吴裕泰茶业股份有限公司,116.2565163,40.177097,116.2439729,40.16987123
2686,花茶制作技艺（福州茉莉花茶窨制工艺） ,传统技艺,扩展项目,福建省福州市仓山区 ,福州海峡茶业交流协会,119.7171297,25.4862068,119.7060349,25.4833417
2687,绿茶制作技艺（西湖龙井）,传统技艺,新增项目,浙江省杭州市,杭州市西湖区龙井茶产业协会,120.0587134,30.20058755,120.047353,30.19724412
2688,绿茶制作技艺（婺州举岩）,传统技艺,新增项目,浙江省金华市,浙江采云间茶业有限公司,119.552833,29.10650805,119.5415735,29.10338797
2689,绿茶制作技艺（黄山毛峰）,传统技艺,新增项目,安徽省黄山市徽州区,谢裕大茶业股份有限公司,121.4531449,31.17728997,121.4421582,31.17286013
2690,绿茶制作技艺（太平猴魁）,传统技艺,新增项目,安徽省黄山市黄山区,黄山区茶业协会,118.1446466,30.29720742,118.1326611,30.29388527
2691,绿茶制作技艺（六安瓜片）,传统技艺,新增项目,安徽省六安市裕安区,六安市裕安区茶叶产业协会,116.4865498,31.74362587,116.4747836,31.73974769
2692,绿茶制作技艺（碧螺春制作技艺）,传统技艺,扩展项目,江苏省苏州市吴中区,苏州市吴中区洞庭山碧螺春茶业协会,120.6268813,31.26980272,120.6162559,31.26582078
2693,绿茶制作技艺（紫笋茶制作技艺）,传统技艺,扩展项目,浙江省长兴县,长兴县紫笋茶文化研究会,119.9174983,31.03257933,119.9063871,31.02893428
2694,绿茶制作技艺（安吉白茶制作技艺）,传统技艺,扩展项目,浙江省安吉县,安吉白茶小镇茶产业商会,116.8506379,40.37488605,116.8380602,40.36782482
2695,绿茶制作技艺（赣南客家擂茶制作技艺） ,传统技艺,扩展项目,江西省全南县,全南县文化馆,114.5365824,24.74820635,114.5252552,24.74546054
2696,绿茶制作技艺（婺源绿茶制作技艺） ,传统技艺,扩展项目,江西省婺源县,婺源县文化馆,117.868445,29.25403905,117.8569286,29.25078361
2697,绿茶制作技艺（信阳毛尖茶制作技艺） ,传统技艺,扩展项目,河南省信阳市,信阳市茶叶商会,114.0974828,32.15301455,114.085113,32.14894478
2698,绿茶制作技艺（恩施玉露制作技艺） ,传统技艺,扩展项目,湖北省恩施市,恩施玉露茶产业协会,114.2670394,30.57984352,114.2551898,30.5761536
